Sentences,Aspect,Target,Polarity,Time
"
Pelayanannya sudah ditingkatkan jadi lebih cepat, perawat dan dokter juga informatif dan jelas dalam memberikan penjelasan. 

Rumah sakitnya sering mendapat rujukan pasien dari rumah sakit lain maupun puskesmas. Harga obatnya juga terjangkau. Pelayanan terhadap pasien umum dan bpjs juga dipukul sama rata (kecuali pasien vip tentunya). 

IGDnya gak pernah sepi pasien. Untuk instalasi rawat jalannya terkadang masih lambat penanganannya. Lobbynya luas, nyaman dan disediakan tempat bermain untuk anak2. Terdapat masjid di sekitar areal parkir.","Waiting Time, Nurse, Doctor, Cost","NULL, NULL, NULL, Pharmacy","Neutral, Positive, Positive, Positive",2 years ago
"
Fasilitas lengkap dengan dokter yang ramah dan cekatan. Letaknya di Surabaya Barat dekat dengan perumahan Citra Land. Lahan parkir luas dan aman","Test&Examination, Doctor, Waiting Time, Parking, Safety","NULL, NULL, NULL, NULL, NULL","Positive, Positive, Positive, Positive, Positive",2 years ago
"
Rumah sakit yang dibangun jaman walikota Bambang Dwi Harsono ini diresmikan pada saat jabatan Beliau berakhir tahun 2010. Maka itu namanya ada kemiripan BDH. Pada jamannya juga diresmikan beberapa fasilitas lain yaitu Stadion Gelora Bung Tomo. Rumah sakit dan Stadion ini untuk mengembangkan Wilayah Surabaya Barat yang berbatasan dengan Gresik. Rumah Sakit Rujukan untuk Warga Surabaya pada akhirnya akan mengurangi angka kematian warga dan meningkatkan kesehatan warga.",NULL,BDH Hospital,Positive,2 years ago
"
Ndisek tau dirumat nang rs iki, ancen gak kabeh bener seh, cuman yo rs iki seng paling mumer seng nang cidek omah",NULL,NULL,Neutral,10 months ago
"
Rumah sakit lumayan besar bagus tp sayang pegawai/perawatnya ada yg galak dan pelayanan igd lambat sekale kasihan yang sakit nunggu lama di luar","Nurse, Waiting Time","NULL, Emergency Department","Negative, Negative",10 months ago
"
RS sampah, pelayanan IGD lambat dan tidak sigap. Tidak ada dokter jaga 24 jam, masuk IGD harus tunggu dokter jaga sholat dulu.
Pasien tidak diberi pertolongan pertama terlebih dahulu, hanya diperiksa sedikit dan disuruh ambil obat di farmasi.
Pasien jd harus menahan sakit sampai obat nya keluar.
Pembayaran harus tunai, tdk ada debit/kredit tapi tdk menyediakan ATM di lokasi.
Kerja semua staf terkesan lambat dan santai, padahal harusnya unit gawat darurat.","Waiting Time, Doctor, Test&Examination, Receptionist&Billing","Emergency Department, Emergency Department, Emergency Department, Emergency Department","Negative, Negative, Negative, Negative",11 months ago
"
Tempat bagus dan bersih, tp pelayananya kurang responsif","Cleanliness, Waiting Time","NULL, NULL","Positive, Negative",4 months ago
"
Perawat dan staf admin yg loket 2 px lama yg ibu ibu itu judes sekali gaada senyumnya , kalo pelayanan seperti terpaksa dan kurang ramah sprti itu px akan terasa lbh sakit , harapannya kalo liat orang ramah kan enak dipandang , px jauh lbh tdk merasakan sakitnya","Nurse, Receptionist&Billing","NULL, NULL","Negative, Negative",a year ago
"
rs.sampah pelayanan tdk memuaskan..mau ngelab malah d buat maianan.suster super judes g layak d pekerjakan...mohon d rumbuk.lg itu karyawannya","Test&Examination, Nurse","NULL, NULL","Negative, Negative",10 months ago
"
Duhhhh IGD nunggu panggilan masa sejam, kasian yg udah pada kesakitan. Parah parah parah bgt, petugas cm brp org. ",Waiting Time,Emergency Department,Negative,10 months ago
"
Rumah sakit terbaik di surabaya,dari segala sisi, fasilitas gedung,parkir,dokter,perawat dan penanganan administrasi terbaik sangat membantu pasien,semoga semakin baik untuk kedepannya","Parking, Doctor, Nurse, Receptionist&Billing","NULL, NULL, NULL, NULL","Positive, Positive, Positive, Positive",9 months ago
"
ada isu horor",NULL,NULL,Negative,6 months ago
"
Pelayanan dokter baik dan cepat. Tapi perawatnya judes"" dan jahat. Keluarga pasien tidak tahu tapi malah dimarahi. Mohon diberi pelatihan untuk kedepannya agar lebih baik.","Doctor, Waiting Time, Nurse","NULL, NULL, NULL","Positive, Positive, Negative",11 months ago
"
Menurut saya ini rumah sakit umum daerah (rsud) yg sangat bersih... 
Pelayanan nya enak dulu waktu 2013 saya sendiri pernah dirawat dsini karena operasi amandel (tht) alkhamdulillah semua nya lancar semua...
Kemudian tahun kemaren persis nenek saya dirawat disini tp saya kurang puas karena pas malem malem nenek dalam keadaan gelisah (namanya udah sepuh) kemudian ada perawat masuk dan menyuntik kan sesuatu kalo katanya sih biar tenang sampek 1 pet suntik penuh bener bener habis itu cairan yg disuntik.. kemudian nenek saya ngga sadar sampe 2 hari kemudian ada dokter bilang suruh persiapan seluruh keluarga nya soalnya kondisi pasien makin menurun takutnya nenek nya meninggal...
Kemudian seluruh keluarga semua berdoa demi kesehatan nenek dan alkhamdulillah mendekati subuh nenek bangun... mungkin efek suntik waktu itu dah kayanya...
Orang kaki nenek tuh kaku banget katanya....
kemudian pas siang ada dokter lagi nge cek disitu...
Eh tiba tiba dia bilang nenek kena strok. Laah kok aneh kok tiba tiba banget...
Dan kamu keluarga pun banyak berdoa untuk kesembuhan nenek.. dan alkhamdulillah yg si vonis dokter itu salah...
Dn nenek masih sehat sampe sekarang...
Hati hatu yah Kalo ada suster yg nyuntik ke cairan infus pasien atau ke pasien...
Bukanya ngga percaya tp kenyataan nya kadang kan ngawur.. maap kalo banyaj kata saya yg salah.","Cleanliness, Nurse, Test&Examination, Doctor","NULL, NULL, NULL, NULL","Positive, Negative, Negative, Negative",a year ago
"
hari ini anak saya elmanboy 6 th, di foto rontgen di jarinya, namun bagian tubuh yang lain tidak dikasi pelindung oleh petugasnya.. setelah sy komplain baru untuk foto yang ke dua kalinya dikasi pelindung dada, namun sayang foto rontgen dilaksanakan 2x",Test&Examination,NULL,Negative,a year ago
"
RSUD yang cukup besar milik pemerintah diwilayah Surabaya Barat. Pelayanan cukup bagus dan jika ada kondisi darurat, ada IGD yang siap 24 jam. 
Bersih dan mudah di jangkau di jalan raya Kendung.
Di sekitarnya banyak penjual makanan dan depot, sehingga bagi keluarga pasien dan penjenguk sangat mudah untuk mencari makanan minuman, di samping ada Alfamart dan di seberangnya ada Indomaret yang buka 24 jam.
Parkir luas dan di depan RSUD ada halte kendaraan umum.","Waiting Time, Cleanliness, Food, Parking","Emergency Department, NULL, NULL, NULL","Positive, Positive, Positive, Positive",a year ago
"
Semoga bs menjadi sarana tempat pelayanan kesehatan yg lbh baik lg, khususnya utk warga Surabaya barat. Aamiin.",NULL,NULL,Positive,a year ago
"
Pelayanan nggk kyak dulu awal"" buka. Keluarga q di Terakhir masuk igd haduh dokter"" pada alemong,  sombong"" kalau ngomong suka nyolot, perawat nya pun gk kayak dulu, apotik juga judes""  pdahl dulu sy pernah dirwat di situ juga baik"" dn telaten,  knpa makin kesini makin parah pelayanannya..  Aq suka pelayanan yg dulu.  Apalagi pas periksa kandungan kalau ditanyain enak banget.  Klw skrg kayak waktu dikejar.  Mo konsultasi jadi gk bisa.  Jadi y usg langsung kasih obat udah..  #payah","Doctor, Nurse, Test&Examination","Emergency Department, Emergency Department, Emergency Department","Negative, Negative, Negative",a year ago
"
Pelayanan cepat , dokter ramah dan biaya murah, benar2 bagus
Makasih","Waiting Time, Doctor, Cost","NULL, NULL, NULL","Positive, Positive, Positive",11 months ago
"
Sy sangat puas pelayanan semua yg terkait dgn pelayanannya atas rawat inap sy, terima kasih BDH",NULL,BDH Hospital,Positive,a year ago
"
Saya suka pelayanan di rumah sakit ini, rumah sakitnya bersih, dokternya bagus bagus, detil dan ramah jugaa .. petugasnya pun demikian ..","Cleanliness, Doctor, Test&Examination","NULL, NULL, NULL","Positive, Positive, Positive",10 months ago
"
rumah sakit umum area barat",NULL,NULL,Neutral,a year ago
"
Pelayanan buruk. Susternya judes semua. Pasien tidak tau malah di bentak. Datang pagi2 buat daftar dapat nomor antrian 360. Di suruh balik lagi jam 12. Padahal sudah dari jam 6 pagi. Umum dan bpjs sama saja, kalau begitu lebih baik pakai bpjs.","Nurse, Waiting Time","NULL, NULL","Negative, Negative",a year ago
"
Sangat sangat sangat mengecewakan beberapa kali berobat di sini, pelayanan sangat buruk",NULL,NULL,Negative,7 months ago
"
Gedung megah.parkir luas.cm sayang antrian lama bngt.","Parking, Waiting Time","NULL, NULL","Positive, Negative",10 months ago
"
rata2 pelayanan suster kurang total di kamar arjuna, sebagai penjaga pasien yg namanya ukuran kencing pasien harusnya tugas suster , kok kita yg dimintai lapor sama suster yg bersangkutan , apakah saya pegawainya suster???..",Nurse,Arjuna Room,Negative,a year ago
"
Rumah sakit dengan pelayanan paling buruk sejagat raya. Pekerjanya sangat tidak ramah dan arogan. Ditambah waktu tunggu yang sangat lama, birokrasi terlalu ribet.. pasien sekarat bisa keburu mati.","Waiting Time, Receptionist&Billing","NULL, NULL","Negative, Negative",a year ago
"
Tidak on-time, makanya tidak menjadi rujukan utama, jadi kelas duwa.... ",Waiting Time,NULL,Negative,a year ago
"
Layanan lumayan bagus.
Antri di poli sesuai dgn urutan daftar.
Layanan pasien BPJS cukup bagus. 
Bersih luas",Cleanliness,NULL,Positive,11 months ago
"
Rumah sakitnya sangat besar, akan tetapi kurang lengkap dalam hal medis masih banyak pasien yang di suruh untuk rujuk di rumah sakit yang memiliki alat medis yang lengkap, untuk transpotasi umum seperti bemo tidak ada sebaiknya menggunakan kendaraan pribadi. Di depan rumah sakit terdapat supermarketnya",Test&Examination,NULL,Negative,a year ago
"
Pernah SC disini. Lain2 cukup bagus, hanya saja ada 1 tenaga laki2 di bagian anestesi yg super galak. Menurutku tdk layak dipekerjakan krna tdk bisa menghargai org lain.
IGD juga lama bgt. Mohon melakukan penanganan dg layak, yg antri sudah banyak, tapi manggilnya tdk sesuai antrian.","Waiting Time, Receptionist&Billing","Emergency Department, Emergency Department","Negative, Negative",11 months ago
"
Sangat Buruk Dalam Segi Pelayanan 
Terutama Kesigapan Staff Kasir dan Staff Petugas Lab 
Saya Pergi Keruangan LAB tak ada Satu Pun Staff LAB yang Siaga di Mejanya 
Petugas Kasir PUN Baru Keluar Sekitar Jam 04.45 Pagi 
Saya sekitar jam 03.45  pada Tanggal 18 Februari 2019 Subuh Mengantar Istri Saya ke IGD saya pun tidak Menggunakan BPJS tapi Pelayanan yang Saya Dapatkan Saya Buruk ....
Mohon Instansi Terkait Lebih Memperhatikan Pelayanan Pada Malam Hari 
Terima Kasih","Receptionist&Billing, Waiting Time","NULL, NULL","Negative, Negative",a year ago
"
Apa2an. Pelayanan yang kurang puas di RS. BDH. saya datang 29-01-2019 pukul 23.30 dan daftar. Lalu nunggu lama sya mau komplain tpi sya tdak kuat. Yang komplain saudara saya. 15mnit setelah komplain saya di panggil. Eh cuma di periksa istilah suroboyoan ""sak srit"" atau cuma sebentar. Saya berfikir apakah saya pkai bpjs?, kalau itu kendalanya emang kenapa di terbitkan. Dan bukan cuma itu sih. Saya bpjs juga bayar tiap bulannya. DAN SAYA TIAP BULAN BAYAR, SAYA HITUNG SAKIT cuma setahun sekali ini. KLO DI HITUNG BUAT BEROBAT pakai UMUM uang MASIH KEMBALI kalau saya tdak pnya bpjs.
bearti itu bukan masalahnya. Masalahnya di SDMnya.

Tolonglah yang kerja totalitas, krena yg gaji kamu itu dari APBD, APBD itu juga dari keringat saya. Dan karirmu disitu apakah ingin masyarakat menurunkan karir anda. 

Tolong bu risma di cek jamnya pada saat itu atas nma siapa. Dan di evaluasi.","Waiting Time, Test&Examination","BDH Hospital, BDH Hospital","Negative, Negative",a year ago
"
Lama UGDnya...dokternya nyolot.padahal sy ty baik2 malah nyolot...","Waiting Time, Doctor","Emergency Unit, Emergency Unit","Negative, Negative",10 months ago
"
Bagus.. walau antriannya banyak bgt",Waiting Time,NULL,Negative,8 months ago
"
harusnya ga usah pakai bintang karena PELAYANANNYA SANGAT MENGECEWAKAN ORANG SAKIT KOK DI BUAT RIBET
NYESEL SAYA KE BDH",NULL,BDH Hospital,Negative,a year ago
"
perawat & staff administrasi kurang ramah, pasien tdk tau malah dibentak. PERAWAT TOLONG DIBERI ARAHAN ATTITUDE! SEKOLAH TINGGI TP ATTITUDE BURUK","Nurse, Receptionist&Billing","NULL, NULL","Negative, Negative",a year ago
"
Pelayanan lumayan..harus tanya dulu ke dokter..baru di periksa..dan rumah sakit sebesar itu..untuk obat..sakit tipes.tidak ada obatnya di situ kalau pakai bpjs.katanya habis obatnya..beli obat sendiri di apotik luar...",NULL,NULL,Neutral,a year ago
"
Rumah sakit umum Tp rasanya kok di puskesmas yaa masak dokter bedah umum nya cma 1 dan klo dokter bedah umum nya bermasalah ywdah percuma hadir tp gk dilayani ....",Doctor,NULL,Negative,a year ago
"
UNTUK ANTRIAN TOLONG DI PERJELAS, YANG DATANG DULUAN APA SESUAI NOMOR ??? TIAP DATANG MESTI PENJELASAN DARI PERAWAT SELALU BEDA !!
HAMPIR TIAP DATANG KONTROL PASTI KECEWA !!","Receptionist&Billing, Nurse","NULL, NULL","Negative, Negative",a year ago
"
Pelayanan nya sangat bagus dan siap siaga",NULL,NULL,Negative,8 months ago
"
Maaf saya baru tau klu rumah sakit kelas 2 utk pelayanannya bel pasien tdk adA sedangkan posisi orang tua saya sangat membutuhkan bantuan urgent bgt 

masak Kita hrs memanggil perawat keluar ?masak bel utk kelas 1 dan vip tlg pelayanan Anda diperbaiki terima kasi",NULL,NULL,Negative,3 years ago
"
Pelayanan bagian bersalin  kurang memberi kesan ,, perawatnya judes banget,gk ada ramahnya Sama sekali .. kek ketemu musuh lama..",Nurse,NULL,Negative,a year ago
"
Terima layanan bpjs... namun suruh bayar sendiri secara penuh dg konfirmasi esok harinya akan dihubungi terkait total bayarnya. Sayang sekali sdh 2 hari lebih tidak ada konfirmasi...??? Bagaimana ini rs bdh ? Mau sampai kapan konfirmasinya?? Saya hanya tunggu janjinya. RM : 15.11.47

Setelah complain besoknya langsung ditelpon... hari ini tanggal 18 juli 2018 datang sesuai konfirmasi dan proses admin.. namun pelayanan di counter kasir buruk sekali. Tidak ada petugas jaga dan di tanyakan pada staf yg ada jawaban tidak tahu. Kalau memang hanya makan gaji buta tidak mau melayani dengan benar... ajukkan pensiun saja. Kita ini semua sudah bayar. Bukan cari gratisan.

Tolong tanamkan anda adalah pelayan publik. Anda bekerja di sini... berarti sdh siap untuk melayani masyarakat yg sdh membayar anda semua.","Receptionist&Billing, Waiting Time","BDH Hospital, BDH Hospital","Negative, Negative",2 years ago
"
Sangat bagus",NULL,NULL,Positive,a year ago
"
Pelayanan cukup baik, namun kemungkinan kurangnya personil membuat pegawai terlihat kualahan",NULL,NULL,Neutral,a year ago
"
Rumah Sakit alatnya tolong dikondisikan",Test&Examination,NULL,Negative,6 months ago
"
sepertinya nomor antrian online itu hanya untuk ambil jatah kuota per harinya, jika mau dilayani lebih dahulu tetep datang lebih pagi meski nomor antrian anda dapet nomer besar","Receptionist&Billing, Waiting Time","NULL, NULL","Negative, Negative",a year ago
"
Pelayanan lama... Perawat poli anak kurang ramah.. ..
Pelayanan mengecewakannn sangat sangat mengecewakab.  usg pake umum Kayak org minta gratisan. Periksa gak smpek 2 menit sudah selesai cm dikasih hasil print dan gak dijelasin apa2. Sebelum nya saya penasaran sama dokter iman. Yg kabarnya enak2 orgnya ramah. Ternyata zonkkkkk...  Trlalu trburu2. Seharus nya dibatasi  jumlah pasien. Biar bisa total kinerjanya.","Waiting Time, Nurse, Test&Examination, Doctor","NULL, Polychild, NULL, NULL","Negative, Negative, Negative, Negative",a year ago
"
Saya kemarin mampir kesini bentar mau ketemu orang...

Pengalaman disini kurang memuaskan menurut saya walaupun ini rumah sakit tapi, saya kmaren agak kesusahan disini dn staf kurang ""telaten"" dalam membantu yaa tp ini lebih baik dari pada beberapa tahun yang lalu dan semoga terus berkembamg overall bisa dibilang lumayan ya walau ada sedikit mines di bagian orang""nya semoga bisa ditingkatkan ke efektifan bekerjanya",NULL,NULL,Neutral,2 years ago
"
Saran saya para petugas administrasinya mohon di bina ulang ... selain kurang ramah... juga kurang cakap memberikan arahan apalagi terhadap pasien yg baru pertama kali berobat kesitu ... masa hampir ditinggal pulang dokter spesialisnya tapi antrian gk dipanggil2 ....","Receptionist&Billing, Waiting Time","NULL, NULL","Negative, Negative",2 years ago
"
Pelayanan dibandingkan 2 tahun sudah jauh lebih baik. Terutama di loket pendaftaran pasien BPJS. Sistem antrian baru (daftar online) juga sudah bagus. Pasien dipanggil sesuai jam yg tertera di tiket. Hanya saja tadi ada sistem error antara loket pendaftaran dengan poli, ketika dipanggil di poli gigi katanya berkas nya belum masuk. Semoga kedepannya sistem nya lebih baik dan disempurnakan. Sukses Selalu.",Receptionist&Billing,NULL,Neutral,2 years ago
"
trimaksih RSUD BDH,, atas semua pelayanannya...",NULL,BDH Hospital,Positive,3 years ago
"
Untuk dokter penyakit dalam kurang masak cuma 2 dokter antrian aja 400 an,, masak sekelas RSUD jumlah dokternya kayak puskesmas aja",Doctor,NULL,Negative,a year ago
"
Penanganan lamban , kurang memperhatikan pasien mau pulang saja harus nunggu  lama harus ini itulah intinya ",Waiting Time,NULL,Negative,a year ago
"
Jam Besuk 1 10.00-12.00 WIB
Jam Besuk 2 17.00-19.00 WIB",NULL,NULL,Neutral,a year ago
"
Bagus",NULL,NULL,Positive,6 months ago
"
Meskipun penyakitnya sudah sembuh tapi pasiennya masih terkena efek samping. tetep saja diksh waktu sktr 1 jam an untuk keluar dr rumah sakit kyk diusir. Salut skali",NULL,NULL,Negative,2 years ago
